dataset,encoder,n_qubits,seed,epochs,lr,train_loss,train_acc,test_loss,test_acc,n_encoder_params,n_ansatz_params,elapsed_s
iris,fixed_angle,4,0,30,0.05,0.45975667238235474,0.8333333333333334,0.5817493796348572,0.7333333333333333,0,8,34.42649531364441
iris,fixed_amplitude,4,0,30,0.05,0.6135216951370239,0.6666666666666666,0.6035524010658264,0.6666666666666666,0,8,47.151312828063965
iris,learned,4,0,30,0.05,0.18214187026023865,0.9583333333333334,0.21771866083145142,0.9333333333333333,16,8,94.185067653656
iris,fixed_angle,6,0,30,0.05,0.4602864682674408,0.8333333333333334,0.5824929475784302,0.7333333333333333,0,12,117.85209012031555
iris,fixed_amplitude,6,0,30,0.05,1.1006629467010498,0.3333333333333333,1.1006629467010498,0.3333333333333333,0,12,90.00605010986328
iris,learned,6,0,30,0.05,0.17987366020679474,0.9583333333333334,0.21268492937088013,0.9333333333333333,24,12,124.06419110298157
iris,fixed_angle,8,0,30,0.05,0.458683043718338,0.8333333333333334,0.5798892378807068,0.7333333333333333,0,16,103.62575006484985
iris,fixed_amplitude,8,0,30,0.05,1.1012818813323975,0.3333333333333333,1.101282000541687,0.3333333333333333,0,16,91.51647067070007
iris,learned,8,0,30,0.05,0.21333928406238556,0.9416666666666667,0.22999617457389832,0.9666666666666667,32,16,192.30670309066772
iris,fixed_angle,10,0,30,0.05,0.458027720451355,0.8333333333333334,0.5785427689552307,0.7333333333333333,0,20,126.3166856765747
iris,fixed_amplitude,10,0,30,0.05,1.1014137268066406,0.3333333333333333,1.1014137268066406,0.3333333333333333,0,20,140.147451877594
iris,learned,10,0,30,0.05,0.18247699737548828,0.9583333333333334,0.21508103609085083,0.9333333333333333,40,20,305.52820897102356
wine,fixed_angle,4,0,30,0.05,0.6567893624305725,0.7746478873239436,0.5660408139228821,0.8055555555555556,0,8,55.72784686088562
wine,fixed_amplitude,4,0,30,0.05,0.7348318696022034,0.7605633802816901,0.7218096852302551,0.8055555555555556,0,8,49.222511291503906
wine,learned,4,0,30,0.05,0.537303626537323,0.7816901408450704,0.4778752326965332,0.8055555555555556,16,8,92.9622220993042
wine,fixed_angle,6,0,30,0.05,0.6567641496658325,0.7746478873239436,0.5663442611694336,0.8055555555555556,0,12,95.87660789489746
wine,fixed_amplitude,6,0,30,0.05,0.9967493414878845,0.44366197183098594,1.025684118270874,0.3055555555555556,0,12,79.38849997520447
wine,learned,6,0,30,0.05,0.543225109577179,0.795774647887324,0.5005666017532349,0.8333333333333334,24,12,128.40382409095764
wine,fixed_angle,8,0,30,0.05,0.6566470265388489,0.7746478873239436,0.5680859088897705,0.8055555555555556,0,16,123.15458035469055
wine,fixed_amplitude,8,0,30,0.05,1.0851439237594604,0.4014084507042254,1.0898730754852295,0.3888888888888889,0,16,118.50011110305786
