dataset,encoder,seed,initial_n_qubits,best_n_qubits,epochs_inner,lr,n_genomes,pop_size,train_loss,train_acc,test_loss,test_acc,best_n_gates,best_n_genome_params,best_genome_number,elapsed_s
iris,learned,1,4,4,5,0.05,80,20,0.34686386585235596,0.8583333333333333,0.32039421796798706,0.8666666666666667,4,1,56,201.159663438797
iris,learned,2,4,4,5,0.05,80,20,0.3043774366378784,0.9166666666666666,0.2796335220336914,0.9666666666666667,4,1,35,205.66420435905457
iris,linear_proj,1,4,4,5,0.05,80,20,0.18776153028011322,0.9416666666666667,0.12573657929897308,1.0,3,3,53,209.1850221157074
iris,linear_proj,2,4,5,5,0.05,80,20,0.13587267696857452,0.975,0.09341040998697281,1.0,2,1,22,203.39275670051575
iris,reupload_euler,1,4,4,5,0.05,80,20,0.18205207586288452,0.9583333333333334,0.09314984828233719,1.0,4,0,57,347.87230944633484
iris,reupload_euler,2,4,4,5,0.05,80,20,0.14685651659965515,0.9583333333333334,0.11658905446529388,0.9666666666666667,3,2,52,359.93990445137024
wine,learned,1,4,4,5,0.05,80,20,0.6045170426368713,0.8169014084507042,0.42269018292427063,0.9722222222222222,1,0,26,228.34803438186646
wine,learned,2,4,3,5,0.05,80,20,0.596103310585022,0.795774647887324,0.4577538073062897,0.8333333333333334,1,1,15,247.3210928440094
wine,linear_proj,1,4,4,5,0.05,80,20,0.20920465886592865,0.971830985915493,0.15427498519420624,1.0,0,0,29,230.5325107574463
wine,linear_proj,2,4,4,5,0.05,80,20,0.1537805199623108,0.9859154929577465,0.15162867307662964,1.0,2,1,59,222.03601813316345
wine,reupload_euler,1,4,4,5,0.05,80,20,0.11949223279953003,1.0,0.09809524565935135,1.0,0,0,47,382.87473249435425
wine,reupload_euler,2,4,4,5,0.05,80,20,0.09275908768177032,0.9788732394366197,0.06582477688789368,1.0,0,0,24,418.67710304260254
seeds,learned,1,4,4,5,0.05,80,20,0.3845061659812927,0.8571428571428571,0.32419419288635254,0.8333333333333334,1,3,77,280.37680530548096
seeds,learned,2,4,4,5,0.05,80,20,0.39002159237861633,0.8630952380952381,0.31320565938949585,0.8809523809523809,2,0,61,273.8110737800598
seeds,linear_proj,1,4,4,5,0.05,80,20,0.239553764462471,0.9166666666666666,0.18418757617473602,0.9285714285714286,0,0,23,269.82232332229614
seeds,linear_proj,2,4,5,5,0.05,80,20,0.24997581541538239,0.9166666666666666,0.19187359511852264,0.9761904761904762,4,1,25,297.4806637763977
seeds,reupload_euler,1,4,8,5,0.05,80,20,0.27162685990333557,0.9285714285714286,0.18321403861045837,1.0,3,1,77,503.95055389404297
seeds,reupload_euler,2,4,4,5,0.05,80,20,0.23351868987083435,0.9226190476190477,0.18480531871318817,0.9761904761904762,2,2,64,490.4373345375061
breast_cancer,learned,1,4,4,5,0.05,80,20,0.25090593099594116,0.9076923076923077,0.27428728342056274,0.8771929824561403,0,0,22,690.6407005786896
breast_cancer,learned,2,4,6,5,0.05,80,20,0.2375076413154602,0.9164835164835164,0.25500860810279846,0.9298245614035088,1,0,63,790.0796406269073
breast_cancer,linear_proj,1,4,4,5,0.05,80,20,0.10433778166770935,0.9736263736263736,0.12068004906177521,0.9649122807017544,1,0,34,712.1738812923431
breast_cancer,linear_proj,2,4,5,5,0.05,80,20,0.10942275822162628,0.967032967032967,0.11428530514240265,0.9736842105263158,2,1,25,753.9882352352142
breast_cancer,reupload_euler,1,4,3,5,0.05,80,20,0.1211952343583107,0.9846153846153847,0.1298500895500183,0.9736842105263158,2,1,13,1301.6203835010529
breast_cancer,reupload_euler,2,4,4,5,0.05,80,20,0.10592450201511383,0.9824175824175824,0.12401395291090012,0.9736842105263158,3,2,69,1370.0801239013672
