layers,final_energy,minimum_energy,minimum_step,parameters
1,-0.5388315464887166,-0.5388315464887166,300,12
2,-1.0709445438952039,-1.0709445438952039,300,24
3,-1.134930895373371,-1.134930895373371,300,36
4,-1.13272525695204,-1.13272525695204,300,48
5,-1.1344921971095407,-1.1344921971095407,300,60
6,-1.1346448569318046,-1.1346448569318046,300,72
7,-1.1362760484834722,-1.1362760484834722,300,84
8,-1.1364538132438826,-1.1364538132438826,300,96
9,-1.1372478623203908,-1.1372478623203908,300,108
10,-1.1372631453440512,-1.1372631453440512,300,120
